service_id,date,exception_type
3403,20250105,1
12701,20250106,1
8001,20250107,1
12701,20250107,1
8001,20250108,1
12701,20250108,1
7901,20250109,1
8001,20250109,1
12701,20250109,1
7901,20250110,1
8001,20250110,1
12701,20250110,1
14802,20250111,1
3403,20250112,1
12701,20250113,1
8001,20250114,1
12701,20250114,1
8001,20250115,1
12701,20250115,1
7901,20250116,1
8001,20250116,1
12701,20250116,1
7901,20250117,1
8001,20250117,1
12701,20250117,1
14802,20250118,1
3403,20250119,1
12701,20250120,1
8001,20250121,1
12701,20250121,1
8001,20250122,1
12701,20250122,1
7901,20250123,1
8001,20250123,1
12701,20250123,1
7901,20250124,1
8001,20250124,1
12701,20250124,1
14802,20250125,1
3403,20250126,1
12701,20250127,1
8001,20250128,1
12701,20250128,1
8001,20250129,1
12701,20250129,1
7901,20250130,1
8001,20250130,1
12701,20250130,1
7901,20250131,1
8001,20250131,1
12701,20250131,1
14802,20250201,1
3403,20250202,1
12701,20250203,1
8001,20250204,1
12701,20250204,1
8001,20250205,1
12701,20250205,1
7901,20250206,1
8001,20250206,1
12701,20250206,1
7901,20250207,1
8001,20250207,1
12701,20250207,1
14802,20250208,1
3403,20250209,1
12701,20250210,1
8001,20250211,1
12701,20250211,1
8001,20250212,1
12701,20250212,1
7901,20250213,1
8001,20250213,1
12701,20250213,1
7901,20250214,1
8001,20250214,1
12701,20250214,1
7,20250217,1
1,20250217,2
3403,20250223,1
12701,20250224,1
8001,20250225,1
12701,20250225,1
8001,20250226,1
12701,20250226,1
7901,20250227,1
8001,20250227,1
12701,20250227,1
7901,20250228,1
8001,20250228,1
12701,20250228,1
14802,20250301,1
3403,20250302,1
12701,20250303,1
8001,20250304,1
12701,20250304,1
8001,20250305,1
12701,20250305,1
7901,20250306,1
8001,20250306,1
12701,20250306,1
7901,20250307,1
8001,20250307,1
12701,20250307,1
14802,20250308,1
3403,20250309,1
12701,20250310,1
8001,20250311,1
12701,20250311,1
8001,20250312,1
12701,20250312,1
7901,20250313,1
8001,20250313,1
12701,20250313,1
7901,20250314,1
8001,20250314,1
12701,20250314,1
14802,20250315,1
3403,20250316,1
12701,20250317,1
8001,20250318,1
12701,20250318,1
8001,20250319,1
12701,20250319,1
7901,20250320,1
8001,20250320,1
12701,20250320,1
7901,20250321,1
8001,20250321,1
12701,20250321,1
14802,20250322,1
3403,20250323,1
12701,20250324,1
8001,20250325,1
12701,20250325,1
8001,20250326,1
12701,20250326,1
7901,20250327,1
8001,20250327,1
12701,20250327,1
7901,20250328,1
8001,20250328,1
12701,20250328,1
14802,20250329,1
3403,20250330,1
12701,20250331,1
8001,20250401,1
12701,20250401,1
8001,20250402,1
12701,20250402,1
7901,20250403,1
8001,20250403,1
12701,20250403,1
7901,20250404,1
8001,20250404,1
12701,20250404,1
14802,20250405,1
3403,20250406,1
12701,20250407,1
8001,20250408,1
12701,20250408,1
8001,20250409,1
12701,20250409,1
7901,20250410,1
8001,20250410,1
12701,20250410,1
7901,20250411,1
8001,20250411,1
12701,20250411,1
17802,20250412,1
3403,20250413,1
12701,20250414,1
8001,20250415,1
12701,20250415,1
8001,20250416,1
12701,20250416,1
7901,20250417,1
8001,20250417,1
12701,20250417,1
7,20250418,1
1,20250418,2
